time_stamp,pm2.5_atm,pm10.0_atm,SensorID
2025-06-01T00:00:00Z,4.2,4.6,105812
2025-07-01T00:00:00Z,3.5,3.8,105812
2025-08-01T00:00:00Z,9.7,10.5,105812
2025-09-01T00:00:00Z,9.3,10.1,105812
2025-10-01T00:00:00Z,4.8,5.2,105812
2025-02-01T00:00:00Z,0.4,0.6,106074
2025-03-01T00:00:00Z,0.5,0.7,106074
2025-04-01T00:00:00Z,0.7,1,106074
2025-05-01T00:00:00Z,1,1.3,106074
2025-06-01T00:00:00Z,1.1,1.4,106074
2025-07-01T00:00:00Z,0.9,1.1,106074
2025-08-01T00:00:00Z,0.5,0.6,106074
2025-09-01T00:00:00Z,0.6,0.8,106074
2025-10-01T00:00:00Z,1.3,1.7,106074
2025-02-01T00:00:00Z,13.9,16.1,106186
2025-03-01T00:00:00Z,10,11.4,106186
2025-04-01T00:00:00Z,13.6,15.7,106186
2025-05-01T00:00:00Z,16.3,18.5,106186
2025-06-01T00:00:00Z,22.3,25.5,106186
2025-07-01T00:00:00Z,21.2,23.2,106186
2025-08-01T00:00:00Z,19.4,21.6,106186
2025-09-01T00:00:00Z,14.1,15.6,106186
2025-10-01T00:00:00Z,10.4,11.9,106186
2025-02-01T00:00:00Z,2.7,3.2,106394
2025-03-01T00:00:00Z,1.5,1.8,106394
2025-04-01T00:00:00Z,2.4,3,106394
2025-05-01T00:00:00Z,3.8,4.5,106394
2025-06-01T00:00:00Z,1.9,2.2,106394
2025-07-01T00:00:00Z,2.9,3.3,106394
2025-08-01T00:00:00Z,4.6,5.3,106394
2025-09-01T00:00:00Z,3.3,3.8,106394
2025-10-01T00:00:00Z,4.3,5,106394
2025-02-01T00:00:00Z,1.3,1.5,107072
2025-03-01T00:00:00Z,1,1.1,107072
2025-04-01T00:00:00Z,1.8,2,107072
2025-05-01T00:00:00Z,2.4,2.7,107072
2025-06-01T00:00:00Z,5.9,6.6,107072
2025-07-01T00:00:00Z,2.5,2.8,107072
2025-08-01T00:00:00Z,2.5,2.8,107072
2025-02-01T00:00:00Z,1.2,1.4,107324
2025-03-01T00:00:00Z,1.2,1.4,107324
2025-04-01T00:00:00Z,2.3,2.6,107324
2025-05-01T00:00:00Z,3.1,3.4,107324
2025-06-01T00:00:00Z,4,4.5,107324
2025-07-01T00:00:00Z,3,3.4,107324
2025-08-01T00:00:00Z,4.6,5,107324
2025-09-01T00:00:00Z,1.6,1.9,107324
2025-10-01T00:00:00Z,3.1,3.5,107324
2025-02-01T00:00:00Z,13.3,15.9,107364
2025-03-01T00:00:00Z,7.3,8.5,107364
2025-04-01T00:00:00Z,8.9,10.2,107364
2025-05-01T00:00:00Z,10.9,12.5,107364
2025-06-01T00:00:00Z,16,18.5,107364
2025-07-01T00:00:00Z,15.5,17.7,107364
2025-08-01T00:00:00Z,14.4,16.3,107364
2025-09-01T00:00:00Z,12.2,14.2,107364
2025-10-01T00:00:00Z,12.7,15.3,107364
2025-02-01T00:00:00Z,16.9,22,108340
2025-03-01T00:00:00Z,8.7,11.4,108340
2025-04-01T00:00:00Z,10.2,13.4,108340
2025-05-01T00:00:00Z,11.1,14.6,108340
2025-06-01T00:00:00Z,14.2,18.1,108340
2025-07-01T00:00:00Z,11,13.3,108340
2025-08-01T00:00:00Z,14.2,17.7,108340
2025-09-01T00:00:00Z,11.3,14.2,108340
2025-10-01T00:00:00Z,12.1,15.4,108340
2025-02-01T00:00:00Z,14.1,15.8,108378
2025-03-01T00:00:00Z,5.7,6.6,108378
2025-04-01T00:00:00Z,4.4,5.1,108378
2025-05-01T00:00:00Z,10.5,11.8,108378
2025-06-01T00:00:00Z,13,14.2,108378
2025-07-01T00:00:00Z,10.6,11.2,108378
2025-08-01T00:00:00Z,15.5,16.7,108378
2025-09-01T00:00:00Z,11.5,12.5,108378
2025-10-01T00:00:00Z,10.3,11.3,108378
2025-02-01T00:00:00Z,5.5,6.5,108592
2025-03-01T00:00:00Z,2.4,3,108592
2025-04-01T00:00:00Z,4.8,5.7,108592
2025-05-01T00:00:00Z,5.8,6.8,108592
2025-06-01T00:00:00Z,6.1,7,108592
2025-07-01T00:00:00Z,4.9,5.8,108592
2025-08-01T00:00:00Z,5.8,6.7,108592
2025-09-01T00:00:00Z,3.8,4.5,108592
2025-02-01T00:00:00Z,6.4,8.4,108614
2025-03-01T00:00:00Z,5.4,7.6,108614
2025-04-01T00:00:00Z,7.7,10.7,108614
2025-05-01T00:00:00Z,10.3,15.1,108614
2025-06-01T00:00:00Z,12.1,17.1,108614
2025-07-01T00:00:00Z,9.4,11.9,108614
2025-08-01T00:00:00Z,12.3,16.2,108614
2025-09-01T00:00:00Z,12,15.2,108614
2025-10-01T00:00:00Z,8.3,10.8,108614
2025-02-01T00:00:00Z,14.8,16,10862
2025-03-01T00:00:00Z,7.9,8.3,10862
2025-04-01T00:00:00Z,11.7,12.5,10862
2025-05-01T00:00:00Z,13,13.8,10862
2025-06-01T00:00:00Z,18,19.5,10862
2025-07-01T00:00:00Z,14.9,15.9,10862
2025-08-01T00:00:00Z,17.2,18.2,10862
2025-09-01T00:00:00Z,13.2,14,10862
2025-10-01T00:00:00Z,14.4,15.6,10862
2025-06-01T00:00:00Z,0.4,0.4,108652
2025-07-01T00:00:00Z,2.1,2.1,108652
2025-08-01T00:00:00Z,0.3,0.4,108652
2025-09-01T00:00:00Z,4.9,5.6,108652
2025-10-01T00:00:00Z,5.4,6.3,108652
2025-02-01T00:00:00Z,16.1,18,10872
2025-03-01T00:00:00Z,7.3,8.1,10872
2025-04-01T00:00:00Z,8.1,8.9,10872
2025-05-01T00:00:00Z,9.2,10,10872
2025-06-01T00:00:00Z,12.1,12.9,10872
2025-07-01T00:00:00Z,10.1,10.6,10872
2025-08-01T00:00:00Z,12.1,12.8,10872
2025-09-01T00:00:00Z,10.9,11.8,10872
2025-10-01T00:00:00Z,11.5,12.6,10872
2025-02-01T00:00:00Z,5.6,6.4,10874
2025-03-01T00:00:00Z,4.4,4.9,10874
2025-04-01T00:00:00Z,8.4,9.4,10874
2025-05-01T00:00:00Z,10.5,11.7,10874
2025-06-01T00:00:00Z,14.6,16.3,10874
2025-07-01T00:00:00Z,11.7,12.6,10874
2025-08-01T00:00:00Z,14.4,15.6,10874
2025-09-01T00:00:00Z,9.2,9.9,10874
2025-10-01T00:00:00Z,9.1,10.2,10874
2025-02-01T00:00:00Z,0.5,0.6,108786
2025-10-01T00:00:00Z,1.7,1.9,108786
2025-04-01T00:00:00Z,3.1,3.8,108790
2025-05-01T00:00:00Z,4.3,5.1,108790
2025-06-01T00:00:00Z,6.9,7.9,108790
2025-07-01T00:00:00Z,6.5,7.3,108790
2025-08-01T00:00:00Z,8.3,9.2,108790
2025-09-01T00:00:00Z,5.2,5.9,108790
2025-10-01T00:00:00Z,5,5.9,108790
2025-09-01T00:00:00Z,8,8.5,108794
2025-10-01T00:00:00Z,6.9,7.3,108794
2025-04-01T00:00:00Z,0.8,1,108802
2025-05-01T00:00:00Z,2.1,2.5,108802
2025-06-01T00:00:00Z,6.2,6.8,108802
2025-07-01T00:00:00Z,6.5,7,108802
2025-08-01T00:00:00Z,5.4,5.9,108802
2025-09-01T00:00:00Z,4.2,4.7,108802
2025-10-01T00:00:00Z,3.4,3.9,108802
2025-04-01T00:00:00Z,4.6,5.7,108814
2025-10-01T00:00:00Z,22.1,25.6,108814
2025-04-01T00:00:00Z,3.5,3.9,10882
2025-05-01T00:00:00Z,3.6,3.9,10882
2025-06-01T00:00:00Z,4.3,4.7,10882
2025-07-01T00:00:00Z,3.8,4,10882
2025-08-01T00:00:00Z,6.3,6.8,10882
2025-09-01T00:00:00Z,3.6,3.8,10882
2025-10-01T00:00:00Z,3.3,3.6,10882
2025-02-01T00:00:00Z,2.6,3,10890
2025-03-01T00:00:00Z,3.6,4.1,10890
2025-04-01T00:00:00Z,5.2,5.9,10890
2025-05-01T00:00:00Z,5.3,5.9,10890
2025-06-01T00:00:00Z,6.1,6.6,10890
2025-07-01T00:00:00Z,5.8,6.2,10890
2025-08-01T00:00:00Z,11,12,10890
2025-09-01T00:00:00Z,5.3,5.9,10890
2025-10-01T00:00:00Z,3.1,3.5,10890
2025-04-01T00:00:00Z,0.5,0.6,109166
2025-05-01T00:00:00Z,0.3,0.4,109166
2025-06-01T00:00:00Z,2.6,2.8,109166
2025-07-01T00:00:00Z,4.1,4.3,109166
2025-08-01T00:00:00Z,4.5,4.7,109166
2025-09-01T00:00:00Z,3.3,3.5,109166
2025-10-01T00:00:00Z,4.1,4.3,109166
2025-03-01T00:00:00Z,3.4,3.9,109378
2025-04-01T00:00:00Z,3.5,4,109378
2025-05-01T00:00:00Z,5.7,6.4,109378
2025-06-01T00:00:00Z,7,7.5,109378
2025-07-01T00:00:00Z,5.5,5.9,109378
2025-08-01T00:00:00Z,6.8,7.2,109378
2025-09-01T00:00:00Z,4.9,5.3,109378
2025-10-01T00:00:00Z,3.9,4.3,109378
2025-03-01T00:00:00Z,2.5,2.8,109380
2025-04-01T00:00:00Z,2.8,3.1,109380
2025-03-01T00:00:00Z,1.6,1.8,109382
2025-04-01T00:00:00Z,1.7,2,109382
2025-05-01T00:00:00Z,2.8,3.2,109382
2025-06-01T00:00:00Z,2.6,2.8,109382
2025-07-01T00:00:00Z,2.6,2.9,109382
2025-08-01T00:00:00Z,4.5,4.9,109382
2025-09-01T00:00:00Z,3.6,4,109382
2025-10-01T00:00:00Z,2.2,2.5,109382
2025-03-01T00:00:00Z,0.9,1,109390
2025-04-01T00:00:00Z,1,1,109390
2025-05-01T00:00:00Z,1.7,1.8,109390
2025-06-01T00:00:00Z,3,3.1,109390
2025-07-01T00:00:00Z,2.8,3,109390
2025-08-01T00:00:00Z,2.3,2.4,109390
2025-09-01T00:00:00Z,1.4,1.5,109390
2025-10-01T00:00:00Z,2.8,3,109390
2025-02-01T00:00:00Z,1,1.3,109394
2025-03-01T00:00:00Z,0.7,1,109394
2025-04-01T00:00:00Z,2.4,2.9,109394
2025-05-01T00:00:00Z,2.1,2.5,109394
2025-06-01T00:00:00Z,3.2,3.6,109394
2025-07-01T00:00:00Z,4.6,5.1,109394
2025-08-01T00:00:00Z,5.1,5.7,109394
2025-09-01T00:00:00Z,2.5,2.8,109394
2025-10-01T00:00:00Z,4.3,4.8,109394
2025-10-01T00:00:00Z,10.7,11.8,109404
2025-02-01T00:00:00Z,16.8,21,109616
2025-03-01T00:00:00Z,9.6,12.5,109616
2025-04-01T00:00:00Z,9.2,11.7,109616
2025-05-01T00:00:00Z,11.3,14.6,109616
2025-06-01T00:00:00Z,14.8,18.1,109616
2025-07-01T00:00:00Z,11.6,13.4,109616
2025-08-01T00:00:00Z,15.4,18.3,109616
2025-09-01T00:00:00Z,12.4,14.8,109616
2025-10-01T00:00:00Z,13.2,16.1,109616
2025-02-01T00:00:00Z,26.2,29.5,109624
2025-03-01T00:00:00Z,12.8,14.2,109624
2025-04-01T00:00:00Z,14.4,15.7,109624
2025-05-01T00:00:00Z,18.2,20.1,109624
2025-06-01T00:00:00Z,24,26.1,109624
2025-07-01T00:00:00Z,18.9,20,109624
2025-08-01T00:00:00Z,24.5,26.3,109624
2025-09-01T00:00:00Z,20.5,22.4,109624
2025-10-01T00:00:00Z,21.2,23.4,109624
2025-02-01T00:00:00Z,60.4,64.8,109708
2025-03-01T00:00:00Z,31.7,32.5,109708
2025-04-01T00:00:00Z,2.8,3.2,109708
2025-02-01T00:00:00Z,14.1,16.5,109948
2025-03-01T00:00:00Z,6.9,8.1,109948
2025-04-01T00:00:00Z,8.4,9.6,109948
2025-05-01T00:00:00Z,11.7,13.4,109948
2025-06-01T00:00:00Z,16.9,19,109948
2025-07-01T00:00:00Z,14.4,15.9,109948
2025-08-01T00:00:00Z,16.9,18.7,109948
2025-09-01T00:00:00Z,12.6,14.1,109948
2025-10-01T00:00:00Z,12.2,13.9,109948
2025-02-01T00:00:00Z,15.8,20.2,110046
2025-03-01T00:00:00Z,8.4,10.9,110046
2025-04-01T00:00:00Z,9.8,12.4,110046
2025-05-01T00:00:00Z,13.5,17,110046
2025-06-01T00:00:00Z,18.7,23.4,110046
2025-07-01T00:00:00Z,15.3,18.1,110046
2025-08-01T00:00:00Z,20,24.9,110046
2025-09-01T00:00:00Z,13,15.8,110046
2025-10-01T00:00:00Z,12.9,16.1,110046
2025-09-01T00:00:00Z,9.9,11,11006
2025-10-01T00:00:00Z,11.1,12.5,11006
2025-03-01T00:00:00Z,8.3,9.3,11024
2025-04-01T00:00:00Z,8.2,9,11024
2025-05-01T00:00:00Z,10.2,11.4,11024
2025-06-01T00:00:00Z,13.1,14.4,11024
2025-07-01T00:00:00Z,10.6,11.4,11024
2025-08-01T00:00:00Z,13,14.1,11024
